time,total_V,total_U,total_D,thermometer,indicator,kappa,gini_coefficient,circulation_rate
581,21098575.681649785,2981354.7679384723,24361803.748471905,1.1546657990596148,0.15466579905961475,0.1,0.5439845527825646,0.14130597311037765
582,21098575.681649785,2977154.944958643,24357603.925492078,1.1544667418794905,0.1544667418794905,0.1,0.543959044421213,0.1411069159302533
583,21092231.281565305,2972045.6438738653,24355360.50939374,1.1547076354449244,0.15470763544492439,0.1,0.5439544600087685,0.14090712377459302
584,21095508.81535958,2964365.5095232627,24354407.94441034,1.154483077776155,0.154483077776155,0.1,0.5433219420288697,0.14052116663642247
585,21092515.74726989,2957096.865931896,24353408.748763695,1.1545995290730495,0.15459952907304952,0.1,0.5430198478851418,0.14019649914518365
586,21093763.835999057,2951682.455338872,24350556.20450948,1.1543959813825315,0.15439598138253152,0.1,0.5428508351253978,0.13993152091242575
587,21093763.835999057,2947220.410197078,24346094.159367688,1.1541844475293752,0.1541844475293752,0.1,0.5430097783200101,0.13971998705926963
588,21095460.58207119,2940996.6676355773,24343353.211375307,1.153961683683952,0.1539616836839519,0.1,0.5417822121349813,0.13941372155368342
589,21097419.677726474,2935036.7918921155,24341414.63724005,1.1537626406009456,0.15376264060094558,0.1,0.5417639512694785,0.13911828255427702
590,21100472.132339835,2927764.792450092,24340408.202530723,1.1535480367391955,0.15354803673919548,0.1,0.541655531412804,0.13875352049411377
591,21091646.046802744,2923246.014562568,24337825.845798537,1.1539083195210302,0.15390831952103023,0.1,0.5414893453465259,0.13859733887416054
592,21094395.230469804,2916312.3577634897,24336535.25021079,1.1536967514033243,0.15369675140332428,0.1,0.5415891509182853,0.13825057916574074
593,21097311.66904163,2909151.153957063,24335360.42031495,1.1534815810691585,0.15348158106915855,0.1,0.5412494234899115,0.13789203096553648
594,21098090.274409473,2904066.9419940617,24331874.398317527,1.1532737836386269,0.15327378363862687,0.1,0.5410915615857437,0.13764596246497696
595,21099860.795116592,2897873.251922728,24329314.93496081,1.1530557083386848,0.15305570833868476,0.1,0.5411310430839926,0.13734087063709063
596,21099860.795116592,2893479.303232259,24324920.98627034,1.152847462951043,0.152847462951043,0.1,0.5407139505494583,0.13713262524944875
597,21099860.795116592,2889839.527183748,24321281.210221827,1.1526749605784512,0.1526749605784512,0.1,0.5404504162263024,0.13696012287685708
598,21085852.220410805,2885234.0519628674,24317858.887609296,1.1532784462972738,0.15327844629727383,0.1,0.5400081452484542,0.13683269814297577
599,21088837.98249279,2877664.8342361283,24316418.33941926,1.1530468563325251,0.15304685633252513,0.1,0.539845704662413,0.13645440477209148
600,21091733.00183477,3109956.8627656684,24315032.084343094,1.152822865822734,0.15282286582273397,0.1,0.5341299448900343,0.14744909119109054
